DataType,ValuationDate,Cutoff,RunningTimeStamp,Status,AssetName,ExchangeName,AssetTicker,BBG,ISIN,SEDOL,CUSIP,UnderlyingType,Currency,Spot,TenorType,Tenor,ForwardSpot,ExpiryDate,ExpiryDays,StrikeType,StrikePillar,Strike,VolMid
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,97.5,33.6375,39.59
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,100,34.5000,39.62
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,102.5,35.3625,39.65
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,105,36.2250,39.69
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,110,37.9500,39.76
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2028/12/29,,Percent,120,41.4000,39.94
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,80,27.6000,39.75
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,90,31.0500,39.78
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,95,32.7750,39.81
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,97.5,33.6375,39.84
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,100,34.5000,39.86
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,102.5,35.3625,39.89
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,105,36.2250,39.92
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,110,37.9500,39.98
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2029/12/31,,Percent,120,41.4000,40.13
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,80,27.6000,40.12
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,90,31.0500,40.15
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,95,32.7750,40.18
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,97.5,33.6375,40.2
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,100,34.5000,40.22
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,102.5,35.3625,40.24
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,105,36.2250,40.27
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,110,37.9500,40.33
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2030/12/31,,Percent,120,41.4000,40.45
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,80,27.6000,40.61
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,90,31.0500,40.64
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,95,32.7750,40.67
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,97.5,33.6375,40.68
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,100,34.5000,40.7
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,102.5,35.3625,40.72
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,105,36.2250,40.75
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,110,37.9500,40.8
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2031/12/31,,Percent,120,41.4000,40.91
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,80,27.6000,41.25
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,90,31.0500,41.28
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,95,32.7750,41.3
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,97.5,33.6375,41.32
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,100,34.5000,41.34
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,102.5,35.3625,41.36
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,105,36.2250,41.38
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,110,37.9500,41.42
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2032/12/31,,Percent,120,41.4000,41.52
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,80,27.6000,42.03
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,90,31.0500,42.06
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,95,32.7750,42.08
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,97.5,33.6375,42.1
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,100,34.5000,42.11
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,102.5,35.3625,42.13
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,105,36.2250,42.15
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,110,37.9500,42.19
EQ_VS,2024/11/6,,,,,,,,,,,,,34.5,,,,2033/12/30,,Percent,120,41.4000,42.28
